"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 06 19:30:13 GMT 2023","Mon Feb 06 19:30:13 GMT 2023","28","Wiki Tests","Selenium tests","vznd.selenium.ElementsInformationTest","vznd.selenium.ElementsInformationTest","getCssValue","getCssValue",""
"passed","Mon Feb 06 19:29:55 GMT 2023","Mon Feb 06 19:29:56 GMT 2023","199","Wiki Tests","Selenium tests","vznd.selenium.BrowserNavigationTest","vznd.selenium.BrowserNavigationTest","pressForwardBrowserButton","pressForwardBrowserButton",""
"passed","Mon Feb 06 19:31:25 GMT 2023","Mon Feb 06 19:31:25 GMT 2023","15","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfElementLocated","presenceOfElementLocated",""
"passed","Mon Feb 06 19:30:37 GMT 2023","Mon Feb 06 19:30:37 GMT 2023","27","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementToBeSelectedByElement","elementToBeSelectedByElement",""
"passed","Mon Feb 06 19:30:33 GMT 2023","Mon Feb 06 19:30:33 GMT 2023","37","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeContainsByLocator","attributeContainsByLocator",""
"passed","Mon Feb 06 19:31:24 GMT 2023","Mon Feb 06 19:31:24 GMT 2023","77","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","numberOfWindowsToBe","numberOfWindowsToBe",""
"failed","Mon Feb 06 19:29:58 GMT 2023","Mon Feb 06 19:29:58 GMT 2023","101","Wiki Tests","Selenium tests","vznd.selenium.KeyboardActionsTest","vznd.selenium.KeyboardActionsTest","enterWithSendKeys","enterWithSendKeys",""
"passed","Mon Feb 06 19:30:11 GMT 2023","Mon Feb 06 19:30:11 GMT 2023","22","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","name","name",""
"passed","Mon Feb 06 19:31:32 GMT 2023","Mon Feb 06 19:31:32 GMT 2023","33","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOf","visibilityOf",""
"passed","Mon Feb 06 19:31:31 GMT 2023","Mon Feb 06 19:31:31 GMT 2023","5","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","urlMatches","urlMatches",""
"passed","Mon Feb 06 19:30:34 GMT 2023","Mon Feb 06 19:30:34 GMT 2023","37","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeByLocator","attributeToBeByLocator",""
"passed","Mon Feb 06 19:30:38 GMT 2023","Mon Feb 06 19:30:38 GMT 2023","27","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementToBeSelectedByLocator","elementToBeSelectedByLocator",""
"broken","Mon Feb 06 19:29:52 GMT 2023","Mon Feb 06 19:29:53 GMT 2023","26","Wiki Tests","Selenium tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingIndex","switchToFrameUsingIndex",""
"passed","Mon Feb 06 19:31:26 GMT 2023","Mon Feb 06 19:31:26 GMT 2023","32","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfNestedElementLocatedBy","presenceOfNestedElementLocatedBy",""
"broken","Mon Feb 06 19:30:40 GMT 2023","Mon Feb 06 19:30:40 GMT 2023","54","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","frameToBeAvailableAndSwitchToItByStringLocator","frameToBeAvailableAndSwitchToItByStringLocator",""
"passed","Mon Feb 06 19:31:29 GMT 2023","Mon Feb 06 19:31:29 GMT 2023","36","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElementValueByLocator","textToBePresentInElementValueByLocator",""
"passed","Mon Feb 06 19:30:02 GMT 2023","Mon Feb 06 19:30:02 GMT 2023","109","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","setWindowSize","setWindowSize",""
"passed","Mon Feb 06 19:30:36 GMT 2023","Mon Feb 06 19:30:36 GMT 2023","44","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementSelectionStateToBeByLocator","elementSelectionStateToBeByLocator",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","statelessOf","statelessOf",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","getWindowDimensionsFromObject","getWindowDimensionsFromObject",""
"passed","Mon Feb 06 19:30:36 GMT 2023","Mon Feb 06 19:30:36 GMT 2023","44","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementToBeClickableByElement","elementToBeClickableByElement",""
"passed","Mon Feb 06 19:29:51 GMT 2023","Mon Feb 06 19:29:51 GMT 2023","8","Wiki Tests","Selenium tests","vznd.selenium.GettingBrowserInformationTest","vznd.selenium.GettingBrowserInformationTest","getTitle","getTitle",""
"passed","Mon Feb 06 19:31:27 GMT 2023","Mon Feb 06 19:31:27 GMT 2023","36","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textMatches","textMatches",""
"passed","Mon Feb 06 19:30:33 GMT 2023","Mon Feb 06 19:30:33 GMT 2023","42","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeContainsByElement","attributeContainsByElement",""
"passed","Mon Feb 06 19:30:21 GMT 2023","Mon Feb 06 19:30:21 GMT 2023","7","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","getAllCookies","getAllCookies",""
"passed","Mon Feb 06 19:30:02 GMT 2023","Mon Feb 06 19:30:02 GMT 2023","56","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","switchToWindowById","switchToWindowById",""
"broken","Mon Feb 06 19:30:22 GMT 2023","Mon Feb 06 19:30:32 GMT 2023","10149","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","alertIsPresent","alertIsPresent",""
"passed","Mon Feb 06 19:31:33 GMT 2023","Mon Feb 06 19:31:33 GMT 2023","13","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","waitWithLambda","waitWithLambda",""
"broken","Mon Feb 06 19:29:59 GMT 2023","Mon Feb 06 19:29:59 GMT 2023","74","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","closeTab","closeTab",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","1","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","getWindowXAndYPositionFromObject","getWindowXAndYPositionFromObject",""
"unknown","Mon Feb 06 19:29:05 GMT 2023","Mon Feb 06 19:29:05 GMT 2023","2","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfAllElementsLocatedBy","visibilityOfAllElementsLocatedBy",""
"passed","Mon Feb 06 19:31:31 GMT 2023","Mon Feb 06 19:31:31 GMT 2023","7","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","urlContains","urlContains",""
"passed","Mon Feb 06 19:30:35 GMT 2023","Mon Feb 06 19:30:35 GMT 2023","30","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementSelectionStateToBeByElement","elementSelectionStateToBeByElement",""
"passed","Mon Feb 06 19:30:09 GMT 2023","Mon Feb 06 19:30:09 GMT 2023","13","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","className","className",""
"broken","Mon Feb 06 19:31:02 GMT 2023","Mon Feb 06 19:31:12 GMT 2023","10265","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","invisibilityOfAllElementsWebElementArgs","invisibilityOfAllElementsWebElementArgs",""
"passed","Mon Feb 06 19:30:00 GMT 2023","Mon Feb 06 19:30:00 GMT 2023","33","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","executeJavascriptOpenAlert","executeJavascriptOpenAlert",""
"passed","Mon Feb 06 19:29:54 GMT 2023","Mon Feb 06 19:29:54 GMT 2023","171","Wiki Tests","Selenium tests","vznd.selenium.BrowserNavigationTest","vznd.selenium.BrowserNavigationTest","openUrl","openUrl",""
"passed","Mon Feb 06 19:30:15 GMT 2023","Mon Feb 06 19:30:15 GMT 2023","80","Wiki Tests","Selenium tests","vznd.selenium.ElementsInteractionsTest","vznd.selenium.ElementsInteractionsTest","clear","clear",""
"passed","Mon Feb 06 19:30:12 GMT 2023","Mon Feb 06 19:30:12 GMT 2023","21","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","xpath","xpath",""
"broken","Mon Feb 06 19:29:53 GMT 2023","Mon Feb 06 19:29:53 GMT 2023","47","Wiki Tests","Selenium tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingName","switchToFrameUsingName",""
"passed","Mon Feb 06 19:29:56 GMT 2023","Mon Feb 06 19:29:57 GMT 2023","206","Wiki Tests","Selenium tests","vznd.selenium.KeyboardActionsTest","vznd.selenium.KeyboardActionsTest","ctrlClick","ctrlClick",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","invisibilityOfElementWithText","invisibilityOfElementWithText",""
"failed","Mon Feb 06 19:30:01 GMT 2023","Mon Feb 06 19:30:01 GMT 2023","3","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","getWindowHandles","getWindowHandles",""
"broken","Mon Feb 06 19:29:14 GMT 2023","Mon Feb 06 19:29:15 GMT 2023","1157","Wiki Tests","Selenium tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","acceptAlert","acceptAlert",""
"passed","Mon Feb 06 19:30:34 GMT 2023","Mon Feb 06 19:30:34 GMT 2023","35","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeByElement","attributeToBeByElement",""
"passed","Mon Feb 06 19:31:28 GMT 2023","Mon Feb 06 19:31:28 GMT 2023","31","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElementLocated","textToBePresentInElementLocated",""
"broken","Mon Feb 06 19:30:39 GMT 2023","Mon Feb 06 19:30:39 GMT 2023","26","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","frameToBeAvailableAndSwitchToItByIntLocator","frameToBeAvailableAndSwitchToItByIntLocator",""
"passed","Mon Feb 06 19:30:21 GMT 2023","Mon Feb 06 19:30:21 GMT 2023","6","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","getCookieByName","getCookieByName",""
"broken","Mon Feb 06 19:29:51 GMT 2023","Mon Feb 06 19:29:52 GMT 2023","84","Wiki Tests","Selenium tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToDefaultContext","switchToDefaultContext",""
"passed","Mon Feb 06 19:31:30 GMT 2023","Mon Feb 06 19:31:30 GMT 2023","5","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","titleIs","titleIs",""
"passed","Mon Feb 06 19:29:50 GMT 2023","Mon Feb 06 19:29:50 GMT 2023","12","Wiki Tests","Selenium tests","vznd.selenium.GettingBrowserInformationTest","vznd.selenium.GettingBrowserInformationTest","getCurrentUrl","getCurrentUrl",""
"passed","Mon Feb 06 19:31:29 GMT 2023","Mon Feb 06 19:31:29 GMT 2023","39","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElementValueByElement","textToBePresentInElementValueByElement",""
"passed","Mon Feb 06 19:30:09 GMT 2023","Mon Feb 06 19:30:09 GMT 2023","17","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","cssSelector","cssSelector",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ImplicitWaitTest","vznd.selenium.ImplicitWaitTest","implicitWait","implicitWait",""
"passed","Mon Feb 06 19:30:16 GMT 2023","Mon Feb 06 19:30:16 GMT 2023","90","Wiki Tests","Selenium tests","vznd.selenium.ElementsInteractionsTest","vznd.selenium.ElementsInteractionsTest","click","click",""
"passed","Mon Feb 06 19:31:30 GMT 2023","Mon Feb 06 19:31:30 GMT 2023","11","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","titleContains","titleContains",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfNestedElementsLocatedByElement","visibilityOfNestedElementsLocatedByElement",""
